,,COde -Z,,,,Code-1,,,,,Code-M,,
,Chp last letter,Rep numb,,,chp 1st letter,Rep numb,,,,,verse last letter,Rep numb,
,أخر السورة,عدد الظهور,,,اول اية,عدد الظهور,عدد كلى,قيمة الجزء,,,أخر الايةالاولى,عدد الظهور,
1,ن,42,,1,ب,2,1,2,,1,م,25,
2,م,17,,2,أ,40,,,,2,ا,15,
3,ر,10,,3,ى,14,,,,3,د,5,
4,ب,5,,4,س,7,,,,4,ن,20,
5,ا,17,,5,ك,1,,,,5,ص,2,
6,ى,5,,6,ط,4,,,,6,ر,17,
7,ط,1,,7,ق,8,6,74,,7,ه,1,
8,ت,5,,8,ت,4,,,,8,س,2,
9,ه,3,,9,و,17,2,21,,9,ت,10,
10,ظ,1,,10,ص,1,,,,10,ل,3,
11,ث,1,,11,ح,7,,,,11,ع,1,
12,ل,1,,12,ن,1,,,,12,ى,5,
13,ف,1,,13,ل,4,,,,13,ج,1,
14,د,4,,14,ه,2,,,,14,ق,3,
15,س,1,,15,ع,2,6,17,,15,ك,1,
,6+9,114,,1,3+12,114,,114,,16,ش,1,
,حرف 15,17+97,,,15 حرف,23+91,,,,17,ح,1,
,,,,حرف30,,,,,,18,ب,1,
,,,,188,,,,,,,5+13,114,
,,,,40,,,,,,,18حرف,18+96,
,,,,228,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
